survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price
236,0,25,0,1,,3,3,3,0,0,30,5000
237,0,25,1,2,,2,2,4,0,0,30,45000
238,0,30,0,,,2,0,3,1,0,15,5000
239,1,20,1,0,,2,1,2,0,0,5,15000
240,0,25,0,,,4,1,2,0,1,0,15000
241,1,20,0,,,2,4,1,0,1,20,15000
242,1,20,1,2,몰라요,3,0,2,0,0,10,5000
243,0,20,0,,,1,1,1,0,2,40,15000
244,1,25,0,,,3,3,2,1,0,10,15000
245,0,25,1,0,"막걸리,백화수복",4,2,3,1,2,5,15000
246,0,20,1,2,복분자주,4,1,2,0,0,0,5000
247,0,30,1,2,이름은 기억안나지만 프랑스에서 마셨던 와인,3,3,3,0,0,10,15000
248,0,30,1,0,전주 모주,4,3,2,0,4,10,15000
249,0,25,0,2,,2,1,3,0,0,0,15000
250,0,20,1,0,,3,3,2,1,2,5,5000
251,1,20,0,,,3,1,1,0,0,10,5000
252,1,20,1,2,,4,0,1,1,0,5,15000
253,0,25,1,3,문배주,3,2,4,1,0,15,15000
254,0,30,1,0,무등산 막걸리,3,3,4,1,2,15,15000
255,0,30,1,2,,1,2,3,0,0,10,15000
256,0,25,1,3,느린마울 막걸리 마시써요,2,1,4,0,2,30,75000
257,0,20,1,2,,3,3,2,1,0,10,15000
258,1,20,1,2,,3,3,3,1,0,10,5000
259,0,25,0,,,5,5,5,0,2,0,5000
260,1,20,1,2,복숭아 와인,4,2,3,1,0,10,15000
261,0,20,0,3,,3,1,3,0,2,15,5000
262,1,20,1,3,,2,2,3,0,2,10,5000
263,1,25,1,2,,3,2,3,1,0,15,15000
264,1,20,1,3,연남연가,4,1,3,0,0,10,15000
265,1,20,1,2,,3,1,4,0,0,15,15000
266,0,35,1,1,경주법주,3,2,4,0,2,15,75000
267,0,25,1,3,원소주,1,1,3,0,2,20,5000
268,1,40,0,2,,3,1,2,1,0,5,15000
269,1,20,0,,,4,4,1,1,0,0,5000
270,1,40,1,1,청비성,3,3,4,1,2,15,5000
271,1,25,1,2,"복순도가, 개도막걸리, 청수",2,3,4,0,0,15,15000
272,0,25,0,,,3,2,3,1,0,5,15000
273,1,25,1,0,밤막걸리,4,2,2,1,2,0,5000
274,1,20,1,2,밤막걸리,2,1,3,1,0,20,15000
275,0,20,1,3,원소주,3,1,2,0,0,15,15000
276,0,25,1,3,화랑,2,2,2,0,2,15,15000
277,0,20,0,2,,3,2,3,0,0,10,15000
278,1,25,1,1,,3,0,4,0,0,5,15000
279,1,25,1,0,무등산 막걸리,3,2,3,1,0,15,15000
280,1,30,0,,,3,2,3,1,0,10,15000
281,1,40,0,,,3,0,0,0,1,20,5000
282,0,25,1,1,,1,3,4,0,0,15,15000
283,0,25,0,,,2,3,3,0,1,30,45000
284,0,30,1,3,,3,1,2,1,0,10,5000
285,1,25,1,0,,2,1,3,0,2,15,5000
286,0,20,1,3,원소주,3,3,3,0,1,15,5000
287,0,30,1,0,삼호막걸리,3,3,4,0,0,40,5000
288,0,25,1,2,,4,3,3,1,0,10,15000
289,0,30,0,,,0,0,0,1,0,0,5000
290,0,30,0,,,4,3,3,1,0,5,15000
291,0,35,1,0,지평막걸리,3,1,2,1,2,5,5000
292,1,25,0,,,2,2,3,0,0,20,15000
293,0,35,1,3,감사,2,2,3,0,0,20,15000
294,1,20,0,,,4,3,3,0,0,10,15000
295,1,30,0,2,,4,3,2,1,0,5,15000
296,0,25,0,,,4,0,0,1,0,0,15000
297,1,20,1,3,,2,0,4,0,0,40,100000
298,0,35,0,,,4,2,3,0,2,0,5000
299,0,25,1,2,추사/유자주/느린마을,3,2,3,1,0,10,15000
300,1,20,0,0,,3,1,3,1,2,15,15000
301,0,25,1,1,"도라지주, 홍주, 복분자, 안동소주, 매실주",3,2,4,0,3,20,15000
302,1,20,0,,,4,2,0,1,0,0,5000
303,1,20,1,0,,3,2,2,1,2,10,5000
304,1,25,1,0,복순도가,4,1,2,1,0,0,15000
305,1,40,0,0,,5,5,5,0,3,30,100000
306,0,25,1,3,,3,3,3,1,0,5,45000
307,0,25,0,,,3,0,0,0,0,5,15000
308,0,30,1,0,지리산 막걸리,3,4,4,1,0,10,5000
309,1,30,0,,,5,3,4,0,0,10,15000
310,0,25,0,,,2,2,4,0,1,20,15000
311,1,30,0,0,원소주,1,4,5,0,2,20,15000
312,0,40,1,3,안동소주,0,1,3,0,2,20,15000
313,0,20,1,0,무등산쌀막걸리,3,2,3,1,2,5,5000
314,0,25,1,3,안알랴줌,1,0,1,0,2,15,5000
315,0,30,1,2,,3,3,4,1,0,5,5000
316,0,25,1,3,일품진로,1,0,3,0,2,15,5000
317,0,30,1,2,복분자주,4,3,4,0,0,20,5000
318,0,25,0,,,4,0,0,1,2,5,5000
319,0,20,0,,,3,1,3,1,0,10,5000
320,1,25,1,2,,0,1,4,0,0,10,45000
321,0,25,1,2,감와인,1,3,4,0,0,30,45000
322,0,25,1,0,,4,2,2,0,0,5,5000
323,0,30,1,3,화요 53,2,3,1,0,2,15,5000
324,0,25,0,,,4,1,3,1,0,20,45000
325,0,25,1,3,한라산,2,3,4,0,2,15,5000
326,0,25,1,1,이강주,2,1,4,0,3,15,45000
327,1,20,0,,,4,4,2,1,0,5,15000
328,1,20,0,,,5,0,0,1,0,0,5000
329,1,20,1,0,해창막걸리,3,3,2,1,2,10,5000
330,1,40,1,0,해창막걸리,4,3,4,1,0,10,15000
331,1,35,1,2,흑임자 막걸리,2,2,2,0,4,10,5000
332,0,20,1,3,,3,2,2,0,0,15,5000
333,0,25,1,3,,1,3,3,0,1,15,100000
334,0,25,0,,,4,4,1,0,2,40,45000
335,0,25,1,0,안동소주,3,0,3,0,2,30,75000
336,0,25,0,,,1,1,2,0,0,15,5000
337,1,30,0,,,3,1,3,1,2,0,5000
338,0,20,1,3,일엽편주,2,2,3,0,2,40,75000
339,0,30,0,,,3,3,2,1,0,20,15000
340,0,25,1,0,,2,2,2,0,0,0,5000
341,1,30,1,0,느린마을 생막걸리,4,2,1,1,0,0,5000
342,1,20,1,3,청하,3,3,4,1,0,15,15000
343,0,25,1,0,무등산막걸리,3,2,4,0,2,10,5000
344,0,30,0,,,1,1,1,0,2,30,45000
345,1,20,0,,,2,1,3,0,2,15,15000
346,0,25,0,,,2,2,3,0,2,15,45000
347,1,25,1,0,,3,2,4,1,2,5,5000
348,1,20,0,,,4,2,1,1,0,0,5000
349,1,20,1,3,원소주,3,1,3,0,0,15,15000
350,1,30,1,2,지역 특산주,1,3,3,0,0,10,15000
351,0,30,0,,,0,0,0,1,1,0,5000
352,1,30,1,0,불로 막걸리,0,2,4,0,0,10,15000
353,1,25,0,2,복분자주,3,2,4,1,0,15,5000
354,0,25,0,,,3,2,2,1,0,5,5000
355,1,20,1,2,기억이 앙나요,3,0,2,1,0,30,45000
356,0,35,1,0,막걸리!(이름모름),3,2,3,0,2,10,5000
357,0,25,0,,,4,2,4,0,0,5,15000
358,0,20,1,2,,3,2,4,0,0,20,15000
359,1,30,1,0,장수막걸리,3,0,3,1,2,5,5000
360,1,30,0,,,4,2,3,1,2,20,15000
361,0,30,1,,,3,3,4,1,3,15,100000
362,1,40,1,2,원소주,5,5,5,1,2,40,100000
363,0,20,1,2,,3,3,2,0,0,0,5000
