survey_num,survey_gender,survey_age,survey_exp,survey_drink_type,survey_drink_name,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_material,survey_alcohole,survey_price,nearest_drinks
220,0,25,1,0,화요,3,2,4,0,2,20,45000,['동짓달 기나긴 밤']
221,0,25,1,2,복분자,2,3,3,0,3,10,5000,['해창 막걸리 9도']
222,0,30,1,2,일본소주 ( 마왕 ) ,3,2,2,0,2,10,5000,['맑은내일 우포']
223,1,25,1,0,"개도막걸리, 골목막걸리, 복순도가",3,0,4,1,2,40,100000,['고리진']
224,0,30,0,,,0,0,0,1,0,0,5000,['서설']
225,0,30,0,,,4,1,2,0,0,0,5000,['자연담은 복분자막걸리']
226,0,25,1,3,화요,2,3,4,0,2,20,75000,['그랑꼬또 청수']
227,0,30,0,,,3,1,4,1,2,20,15000,['벗이랑 버찌 홍국']
228,1,25,1,0,해창,3,1,3,1,2,5,15000,['동래아들']
229,1,30,1,1,고흥유자주,3,2,2,1,2,5,5000,['대대포 막걸리']
230,1,20,0,,,4,1,2,0,2,0,5000,['자연담은 복분자막걸리']
231,1,20,1,2,,3,1,2,0,0,0,15000,['별산오디 스파클링 막걸리']
232,0,25,1,3,누가 준거라 기억나지 않습니다,2,1,3,1,2,15,15000,['양촌 우렁이쌀 약청주']
233,0,25,1,1,한산소곡주,4,3,3,0,2,40,45000,['술아 순곡주']
234,0,20,1,0,비아막걸리,3,1,3,1,0,15,5000,['김포특주']
235,0,30,1,3,원소주 초판 / 홈메이드 담금주 ,2,0,3,1,0,20,100000,['말이야 막걸리야']
236,0,25,0,1,,3,3,3,0,0,30,5000,['삼양춘 약청주']
237,0,25,1,2,,2,2,4,0,0,30,45000,['세종대왕어주 약청주']
238,0,30,0,,,2,0,3,1,0,15,5000,['술샘19']
239,1,20,1,0,,2,1,2,0,0,5,15000,['단감명작']
240,0,25,0,,,4,1,2,0,1,0,15000,['자연담은 복분자막걸리']
241,1,20,0,,,2,4,1,0,1,20,15000,['홍삼명주']
242,1,20,1,2,몰라요,3,0,2,0,0,10,5000,['매실원주']
243,0,20,0,,,1,1,1,0,2,40,15000,['서울의 밤 25%']
244,1,25,0,,,3,3,2,1,0,10,15000,['사과와인']
245,0,25,1,0,"막걸리,백화수복",4,2,3,1,2,5,15000,['담은']
246,0,20,1,2,복분자주,4,1,2,0,0,0,5000,['자연담은 복분자막걸리']
247,0,30,1,2,이름은 기억안나지만 프랑스에서 마셨던 와인,3,3,3,0,0,10,15000,['고도리 화이트와인 스위트']
248,0,30,1,0,전주 모주,4,3,2,0,4,10,15000,['매화깊은밤']
249,0,25,0,2,,2,1,3,0,0,0,15000,['양촌 우렁이쌀 약청주']
250,0,20,1,0,,3,3,2,1,2,5,5000,['냥이탁주5']
251,1,20,0,,,3,1,1,0,0,10,5000,['우주멜론미 스파클링 막걸리']
252,1,20,1,2,,4,0,1,1,0,5,15000,['우주멜론미 스파클링 막걸리']
253,0,25,1,3,문배주,3,2,4,1,0,15,15000,['벗이랑 버찌 홍국']
254,0,30,1,0,무등산 막걸리,3,3,4,1,2,15,15000,['벗이랑 강황']
255,0,30,1,2,,1,2,3,0,0,10,15000,['그리움']
256,0,25,1,3,느린마울 막걸리 마시써요,2,1,4,0,2,30,75000,['세종대왕어주 약청주']
257,0,20,1,2,,3,3,2,1,0,10,15000,['사과와인']
258,1,20,1,2,,3,3,3,1,0,10,5000,['냥이탁주9']
259,0,25,0,,,5,5,5,0,2,0,5000,['별산막걸리']
260,1,20,1,2,복숭아 와인,4,2,3,1,0,10,15000,['복숭아와인']
261,0,20,0,3,,3,1,3,0,2,15,5000,['김포특주']
262,1,20,1,3,,2,2,3,0,2,10,5000,['하얀연꽃 백련막걸리']
263,1,25,1,2,,3,2,3,1,0,15,15000,['오메기술']
264,1,20,1,3,연남연가,4,1,3,0,0,10,15000,['동래아들']
265,1,20,1,2,,3,1,4,0,0,15,15000,['벗이랑 버찌 홍국']
266,0,35,1,1,경주법주,3,2,4,0,2,15,75000,['시나브로 청수 화이트']
267,0,25,1,3,원소주,1,1,3,0,2,20,5000,['양촌 우렁이쌀 약청주']
268,1,40,0,2,,3,1,2,1,0,5,15000,['별산오디 스파클링 막걸리']
269,1,20,0,,,4,4,1,1,0,0,5000,['고도리 복숭아와인']
270,1,40,1,1,청비성,3,3,4,1,2,15,5000,['벗이랑 강황']
271,1,25,1,2,"복순도가, 개도막걸리, 청수",2,3,4,0,0,15,15000,['벗이랑 강황']
272,0,25,0,,,3,2,3,1,0,5,15000,['하얀연꽃 백련막걸리']
273,1,25,1,0,밤막걸리,4,2,2,1,2,0,5000,['자연담은 복분자막걸리']
274,1,20,1,2,밤막걸리,2,1,3,1,0,20,15000,['양촌 우렁이쌀 약청주']
275,0,20,1,3,원소주,3,1,2,0,0,15,15000,['맑은내일 우포']
276,0,25,1,3,화랑,2,2,2,0,2,15,15000,['녹파주']
277,0,20,0,2,,3,2,3,0,0,10,15000,['추사 블루베리 와인']
278,1,25,1,1,,3,0,4,0,0,5,15000,['매실원주']
279,1,25,1,0,무등산 막걸리,3,2,3,1,0,15,15000,['오메기술']
280,1,30,0,,,3,2,3,1,0,10,15000,['추사 블루베리 와인']
281,1,40,0,,,3,0,0,0,1,20,5000,['서설']
282,0,25,1,1,,1,3,4,0,0,15,15000,['그리움']
283,0,25,0,,,2,3,3,0,1,30,45000,['신선주']
284,0,30,1,3,,3,1,2,1,0,10,5000,['맑은내일 우포']
285,1,25,1,0,,2,1,3,0,2,15,5000,['양촌 우렁이쌀 약청주']
286,0,20,1,3,원소주,3,3,3,0,1,15,5000,['민주 허브 막걸리']
287,0,30,1,0,삼호막걸리,3,3,4,0,0,40,5000,['양지백주']
288,0,25,1,2,,4,3,3,1,0,10,15000,['만강에 비친 달']
289,0,30,0,,,0,0,0,1,0,0,5000,['서설']
290,0,30,0,,,4,3,3,1,0,5,15000,['보리수헤는밤']
291,0,35,1,0,지평막걸리,3,1,2,1,2,5,5000,['대대포 막걸리']
292,1,25,0,,,2,2,3,0,0,20,15000,['양촌 우렁이쌀 약청주']
293,0,35,1,3,감사,2,2,3,0,0,20,15000,['양촌 우렁이쌀 약청주']
294,1,20,0,,,4,3,3,0,0,10,15000,['만강에 비친 달']
295,1,30,0,2,,4,3,2,1,0,5,15000,['미르아토 로제와인']
296,0,25,0,,,4,0,0,1,0,0,15000,['우주멜론미 스파클링 막걸리']
297,1,20,1,3,,2,0,4,0,0,40,100000,['고리진']
298,0,35,0,,,4,2,3,0,2,0,5000,['DOK막걸리']
299,0,25,1,2,추사/유자주/느린마을,3,2,3,1,0,10,15000,['추사 블루베리 와인']
300,1,20,0,0,,3,1,3,1,2,15,15000,['양촌 우렁이쌀 약청주']
301,0,25,1,1,"도라지주, 홍주, 복분자, 안동소주, 매실주",3,2,4,0,3,20,15000,['벗이랑 버찌 홍국']
302,1,20,0,,,4,2,0,1,0,0,5000,['우주멜론미 스파클링 막걸리']
303,1,20,1,0,,3,2,2,1,2,10,5000,['맑은내일 우포']
304,1,25,1,0,복순도가,4,1,2,1,0,0,15000,['자연담은 복분자막걸리']
305,1,40,0,0,,5,5,5,0,3,30,100000,['샤토미소 아이스와인']
306,0,25,1,3,,3,3,3,1,0,5,45000,['시나브로 청수 화이트']
307,0,25,0,,,3,0,0,0,0,5,15000,['우주멜론미 스파클링 막걸리']
308,0,30,1,0,지리산 막걸리,3,4,4,1,0,10,5000,['홍시와인']
309,1,30,0,,,5,3,4,0,0,10,15000,['지란지교']
310,0,25,0,,,2,2,4,0,1,20,15000,['벗이랑 버찌 홍국']
311,1,30,0,0,원소주,1,4,5,0,2,20,15000,['볼빨간막걸리 10']
312,0,40,1,3,안동소주,0,1,3,0,2,20,15000,['이도 22']
313,0,20,1,0,무등산쌀막걸리,3,2,3,1,2,5,5000,['하얀연꽃 백련막걸리']
314,0,25,1,3,안알랴줌,1,0,1,0,2,15,5000,['서설']
315,0,30,1,2,,3,3,4,1,0,5,5000,['벗이랑 강황']
316,0,25,1,3,일품진로,1,0,3,0,2,15,5000,['모리']
317,0,30,1,2,복분자주,4,3,4,0,0,20,5000,['지란지교']
318,0,25,0,,,4,0,0,1,2,5,5000,['우주멜론미 스파클링 막걸리']
319,0,20,0,,,3,1,3,1,0,10,5000,['하얀연꽃 백련막걸리']
320,1,25,1,2,,0,1,4,0,0,10,45000,['메밀로']
321,0,25,1,2,감와인,1,3,4,0,0,30,45000,['그랑꼬또 청수']
322,0,25,1,0,,4,2,2,0,0,5,5000,['자연담은 복분자막걸리']
323,0,30,1,3,화요 53,2,3,1,0,2,15,5000,['선호 생막걸리']
324,0,25,0,,,4,1,3,1,0,20,45000,['술아 순곡주']
325,0,25,1,3,한라산,2,3,4,0,2,15,5000,['벗이랑 강황']
326,0,25,1,1,이강주,2,1,4,0,3,15,45000,['세종대왕어주 약청주']
327,1,20,0,,,4,4,2,1,0,5,15000,['고도리 복숭아와인']
328,1,20,0,,,5,0,0,1,0,0,5000,['우주멜론미 스파클링 막걸리']
329,1,20,1,0,해창막걸리,3,3,2,1,2,10,5000,['조은술 세종 바나나']
330,1,40,1,0,해창막걸리,4,3,4,1,0,10,15000,['지란지교']
331,1,35,1,2,흑임자 막걸리,2,2,2,0,4,10,5000,['민주 포도 막걸리']
332,0,20,1,3,,3,2,2,0,0,15,5000,['맑은내일 우포']
333,0,25,1,3,,1,3,3,0,1,15,100000,['산머루 크라테 드라이']
334,0,25,0,,,4,4,1,0,2,40,45000,['장수 오미자주']
335,0,25,1,0,안동소주,3,0,3,0,2,30,75000,['이강주']
336,0,25,0,,,1,1,2,0,0,15,5000,['서울의 밤 25%']
337,1,30,0,,,3,1,3,1,2,0,5000,['동래아들']
338,0,20,1,3,일엽편주,2,2,3,0,2,40,75000,['아리아리']
339,0,30,0,,,3,3,2,1,0,20,15000,['감사']
