이름,종류,도수,유통기한,보관방법,추천음식,단맛,여운,바디,씁쓸,산미,탄산,탄닌,가격,,,,,,,,
신애유자,과실주,5,제조일로부터 2년,상온 보관 가능,"닭가슴살 샐러드, 양념 치킨, 페퍼로니 피자",3,0,3,0,4,3,0,5900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/5NGV-1634530584930-%EB%8C%84%EC%8B%B1%EC%82%AC%EC%9D%B4%EB%8D%94%20%EC%8B%A0%EC%95%A0%EC%9C%A0%EC%9E%901.jpg,,,,,,,
루드베리,과실주,4.5,제조일로부터 2년,직사광선을 피해 서늘한 곳에 보관,"크림 파스타, 카프레제, 피자",3,0,3,0,4,3,0,5900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/QBcG-1654563486179-thumb.jpg,,,,,,,
요새로제,과실주,6.4,제조일로부터 2년,상온 보관 가능,"물회, 라자냐, 치즈 케이크",4,0,3,0,4,3,1,17900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/IUBI-1654568797609-thumb.jpg,,,,,,,
댄싱사이더 치키피치,과실주,4.5,제조일로부터 2년,상온 보관 가능,"과일 샐러드, 페퍼로니 피자, 복숭아 타르트",3,0,3,0,4,3,0,6900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/y4ka-1635929191182-%EC%B9%98%ED%82%A4%ED%94%BC%ED%82%A4.jpg,,,,,,,
원매,리큐르,15,유통기한 없음,상온 보관 가능,"골뱅이 무침, 초계국수, 칠리 새우",5,3,3,0,0,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/vJ1i-1654249568912-1.jpg,,,,,,,
서울의 밤 25%,리큐르,25,유통기한 없음,상온 보관 가능,"샤브샤브, 광어회, 주꾸미 볶음",1,2,2,0,0,0,0,7900,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/eluC-1637227145655-%EC%84%9C%EC%9A%B8%EC%9D%98%EB%B0%A4.jpg,,,,,,,
원매,리큐르,15,유통기한 없음,상온 보관 가능,"골뱅이 무침, 초계국수, 칠리 새우",5,3,3,0,0,0,0,25000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/vJ1i-1654249568912-1.jpg,,,,,,,
샤토미소 랑,과실주,12,유통기한 없음,냉장 보관,"LA갈비, 깐쇼새우, 감귤 타르트",3,0,2,0,4,0,0,,,,,,,,,
샤토미소 레드 드라이,2일 이내 배송,,,,,,,,,,,,,,,,,,,,
샤토미소 레드 스위트,2일 이내 배송,,,,,,,,,,,,,,,,,,,,
사토미소 아이스,과실주,12,유통기한 없음,상온 보관 가능,"치즈 케이크, 핑거푸드, 가래떡 구이",5,0,4,0,4,0,0,,,,,,,,,
샤토미소 아이스와인,과실주,12,유통기한 없음,상온 보관 가능,"치즈 케이크, 핑거푸드, 가래떡 구이",5,0,4,0,4,0,0,120000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/hbeQ-1638867956762-%EC%83%A4%ED%86%A0%EB%AF%B8%EC%86%8C%20%ED%80%B8%20%EC%95%84%EC%9D%B4%EC%8A%A4%20%EC%99%80%EC%9D%B8.jpg,,,,,,,
샤토미소 웨딩 자두와인,과실주,12,유통기한 없음,상온 보관 가능,"연어 스테이크, 월남쌈, 오징어 튀김",3,0,3,0,4,0,2,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/KNBS-1640251277612-%EC%83%A4%ED%86%A0%EB%AF%B8%EC%86%8C%20%EC%9B%A8%EB%94%A9.jpg,,,,,,,
DOK막걸리,탁주,6,제조일로부터 30일,냉장 보관,"닭발, 아귀찜, 주꾸미 볶음",4,0,3,1,2,0,0,3300,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/csEs-1670995060408-0.jpg,,,,,,,
얼떨결에,탁주,6,제조일로부터 40일,냉장 보관,"까르보나라, 맥앤치즈, 피자",3,0,2,1,4,4,0,,,,,,,,,
얼떨결에 퍼플,탁주,6,제조일로부터 40일,냉장 보관,"까르보나라, 맥앤치즈, 피자",3,0,2,1,4,4,0,9300,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/utRL-1643388270514-1jpg.jpg,,,,,,,
부안참뽕와인,과실주,13,유통기한 없음,직사광선을 피해 서늘한 곳에 보관,"블루베리 치즈 케이크, 장어구이, 떡볶이",4,0,3,0,2,0,2,18000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Qc6X-1656438704218-0.jpg,,,,,,,
메밀로,일반증류주,25,유통기한 없음,상온 보관 가능,"막국수, 물회, 미나리 삼겹살",0,4,4,0,0,0,0,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/qWT8-1658990465819-1.jpg,,,,,,,
희양산 막걸리 9도,탁주,9,제조일로부터 30일,냉장 보관,"탕수육, 칠리 새우, 양념 치킨",1,0,2,2,3,0,0,7300,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Wr04-1678775559753-doosool+%281%29.jpg,,,,,,,
겨울소주 25,증류식소주,25,유통기한 없음,상온 보관 가능,"매운탕, 삼겹살, 오돌뼈",0,3,3,0,0,0,0,10000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/pDC4-1672192898690-25-5.jpg,,,,,,,
설하담,탁주,7,제조일로부터 30일,냉장 보관,"낙지 볶음, 제육 볶음, 찜닭",2,0,4,1,4,3,0,11000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/z2xD-1677820053988-%EC%8A%A4%ED%81%AC%EB%A6%B0%EC%83%B7%202023-03-03%20%EC%98%A4%ED%9B%84%202.07.13.png,,,,,,,
진맥 소주,증류식소주,22,유통기한 없음,상온 보관 가능,"떡갈비, 수육, 전어회",0,2,3,0,0,0,0,22000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/Jbzv-1625726727776-%EC%A7%84%EB%A7%A522-4.png,,,,,,,
매실향기 담은 술,약주,14,제조일로부터 90일,냉장 보관,"방어회, 감자전, 탕수육",3,0,3,3,4,0,0,25920,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/6txz-1619164915689-%EB%A7%A4%ED%96%A5%EC%88%A0%20%EC%95%BD%EC%A3%BC.jpg,,,,,,,
명인 안동소주 22%,증류식소주,22,유통기한 없음,상온 보관 가능,"고등어구이, 소고기 등심구이, 찜닭",0,3,2,0,0,0,0,5000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/nfB4-1683875394449-%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg,,,,,,,
명인 안동소주,증류식소주,35,유통기한 없음,상온 보관 가능,"배추전, 갈비탕, 크림소스 연어 스테이크",0,4,3,0,0,0,0,7500,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/EaDe-1683875449666-%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg,,,,,,,
모월 인,증류식소주,41,유통기한 없음,상온 보관 가능,"닭 안심 스테이크, 숯불 돼지구이, 알탕",0,4,4,0,0,0,0,50000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/8yjS-1670816405557-1.jpg,,,,,,,
모월 로,증류식소주,25,유통기한 없음,상온 보관 가능,"닭발, 삼겹살, 육회",0,3,3,0,0,0,0,30000,https://d38cxpfv0ljg7q.cloudfront.net/admin_contents/detail/VVCK-1667538487441-thumb.jpg,,,,,,,
