survey_gender,survey_age,survey_taste_type,survey_taste_sweet,survey_taste_sour,survey_taste_body,survey_taste_soda,survey_alcohole,survey_price,survey_drink_answer
0,35,1,1,2,3,0,30,20000,그리움
1,20,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
1,20,0,4,3,3,0,10,16000,만강에 비친 달
1,20,3,0,0,3,0,40,22000,병영소주
1,30,3,3,0,3,0,10,6200,매실원주
1,25,1,3,3,3,0,20,17500,삼양춘 청주
0,20,3,2,0,3,0,30,13000,이강주 25%
1,30,2,3,1,2,0,10,35000,허니문
0,40,0,2,3,3,0,10,12000,해창 막걸리 9도
1,25,1,3,1,4,0,30,33000,세종대왕어주 약주
1,20,3,5,0,3,0,20,25000,원매
0,20,1,2,1,0,0,5,15000,서설
1,20,0,4,1,3,0,10,4000,동래아들
1,25,1,0,4,3,0,30,13500,능이주
1,20,2,4,2,2,0,20,12000,"제주, 동백"
1,35,2,5,2,1,0,20,12000,"제주, 동백"
0,25,1,3,2,0,0,20,15000,서설
1,30,0,3,1,2,0,5,3800,대대포 막걸리
0,25,1,3,2,3,0,30,21000,술아 순곡주
1,25,1,2,0,4,0,10,33000,세종대왕어주 약주
0,25,2,3,3,3,0,10,20000,고도리 화이트와인 스위트
0,35,0,5,0,0,1,5,6000,우주멜론미 스파클링 막걸리
0,25,2,3,4,2,0,12,38000,초선의 꿈 로제와인
0,20,0,4,0,0,1,10,6000,우주멜론미 스파클링 막걸리
0,35,3,5,0,3,0,5,25000,원매
0,35,1,4,2,5,0,30,11000,한산소곡주
0,25,2,3,2,3,0,10,22000,추사 블루 스위트
0,25,2,5,5,0,0,10,23000,세인트하우스 모과와인
0,25,1,1,2,4,0,30,33000,세종대왕어주 약주
1,20,2,3,4,2,0,12,38000,초선의 꿈 로제와인
0,25,0,5,0,0,1,5,6000,우주멜론미 스파클링 막걸리
0,25,1,2,3,4,0,40,40000,동짓달 기나긴 밤
1,30,2,5,5,5,0,10,120000,샤토미소 아이스와인
1,20,2,4,2,3,0,10,16000,복숭아와인
0,25,3,1,0,3,0,10,9800,모리
0,25,1,2,1,3,0,20,16000,우렁이쌀 청주
1,20,1,4,2,4,0,10,21000,술아 국화주
0,20,1,4,1,4,0,10,21000,술아 국화주
1,20,3,5,0,5,0,30,28000,아이엠더문
1,20,3,4,0,3,0,20,12000,꿀샘 16
1,20,3,3,0,2,0,20,16000,오매락
1,20,1,3,2,3,0,20,3600,김포특주
1,30,0,2,2,3,0,10,12000,해창 막걸리 9도
1,20,2,4,2,3,0,10,16000,복숭아와인
0,20,0,3,2,4,0,10,9000,술취한 원숭이
1,25,2,3,1,2,0,10,35000,허니문
0,25,0,4,5,4,0,5,33000,별산막걸리
1,20,3,2,0,3,0,10,12000,술샘19
0,20,1,3,2,3,0,30,21000,술아 순곡주
0,25,1,2,1,2,0,20,20000,하타
0,25,3,0,0,0,0,20,11200,여유19
0,20,2,3,2,3,0,10,22000,추사 블루 스위트
1,20,3,5,1,4,0,10,28000,아이엠더문
1,20,0,2,2,2,0,10,13200,민주 포도 막걸리
0,25,2,5,5,5,0,20,120000,샤토미소 아이스와인
0,25,1,2,2,5,0,20,33000,세종대왕어주 약주
0,25,3,0,0,5,0,20,15000,밀담 24
0,25,1,3,1,4,0,30,33000,세종대왕어주 약주
1,20,1,2,2,3,0,20,3600,김포특주
1,20,0,3,2,4,0,20,12000,벗이랑 버찌 홍국
0,25,3,2,0,2,0,30,16000,오매락
1,30,0,4,3,4,0,20,16000,지란지교
1,20,0,4,0,0,1,5,6000,우주멜론미 스파클링 막걸리
0,25,1,1,1,0,0,20,15000,서설
0,25,2,3,2,3,0,10,22000,추사 블루 스위트
1,20,3,3,0,2,0,10,6200,매실원주
